seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
9,event,good,0.19132407003520774,18.615,70.0,2390.2109754510775,29,0
9,proposed,good,0.12237683687538266,4.0825,20.0,2390.2109754510775,5,160
10,unconditional,good,0.061183550001759686,0.0,0.0,220.3302152898618,800,0
10,periodic,good,0.10578134384759043,4.5,9.0,220.3302152898618,80,0
10,event,good,0.1742891557216788,18.41375,65.0,220.3302152898618,25,0
10,proposed,good,0.08242697342159913,3.955,20.0,220.3302152898618,3,159
11,unconditional,good,0.06038715161429873,0.0,0.0,185.9179167181321,800,0
11,periodic,good,0.09564991220072963,4.5,9.0,185.9179167181321,80,0
11,event,good,0.17117578310254547,16.9775,59.0,185.9179167181321,26,0
11,proposed,good,0.0792189582323843,3.82375,20.0,185.9179167181321,3,160
12,unconditional,good,6.497031118646491,0.0,0.0,649976.3867041899,800,0
12,periodic,good,6.809653503398172,4.5,9.0,649976.3867041899,80,0
12,event,good,6.518690338332656,25.95,137.0,649976.3867041899,30,0
12,proposed,good,6.500674784676541,4.7575,20.0,649976.3867041899,14,152
13,unconditional,good,0.05838920707404928,0.0,0.0,212.76287181573736,800,0
13,periodic,good,0.10020196169552355,4.5,9.0,212.76287181573736,80,0
13,event,good,0.16460693524137976,19.39,81.0,212.76287181573736,26,0
13,proposed,good,0.07896857544484681,4.19,20.0,212.76287181573736,4,155
14,unconditional,good,0.06355525768441624,0.0,0.0,189.41921322428792,800,0
14,periodic,good,0.10066700930231104,4.5,9.0,189.41921322428792,80,0
14,event,good,0.1701196753181532,18.2725,56.0,189.41921322428792,26,0
14,proposed,good,0.08703943829549228,3.8375,20.0,189.41921322428792,4,161
15,unconditional,good,0.061329007369524235,0.0,0.0,186.34486678098392,800,0
15,periodic,good,0.092743218403748,4.5,9.0,186.34486678098392,80,0
15,event,good,0.17458045611428638,17.56,57.0,186.34486678098392,26,0
15,proposed,good,0.08313167052727341,3.9375,20.0,186.34486678098392,3,155
16,unconditional,good,0.061109368207319825,0.0,0.0,154.22379414323808,800,0
16,periodic,good,0.09509435768748636,4.5,9.0,154.22379414323808,80,0
16,event,good,0.16909686494851306,19.8625,85.0,154.22379414323808,25,0
16,proposed,good,0.08403184733223133,3.74,20.0,154.22379414323808,2,162
17,unconditional,good,0.0617454837924856,0.0,0.0,156.1129009797666,800,0
17,periodic,good,0.09868974218863448,4.5,9.0,156.1129009797666,80,0
17,event,good,0.16871109700990838,18.19625,59.0,156.1129009797666,26,0
