filter,method,param,seed,rmse_twin,sync_count,mean_aoi
fixed,periodic,30.0,4,0.5878278100631459,27,14.375
fixed,periodic,30.0,5,0.6343425773179432,27,14.375
fixed,periodic,30.0,6,0.5361933030706612,27,14.375
fixed,periodic,30.0,7,0.7215540156785117,27,14.375
fixed,periodic,30.0,8,0.6633563618056474,27,14.375
fixed,periodic,30.0,9,0.6470285910282958,27,14.375
fixed,periodic,30.0,10,0.7740460582447547,27,14.375
fixed,periodic,30.0,11,0.4487991201458659,27,14.375
fixed,periodic,30.0,12,0.6538466467461991,27,14.375
fixed,periodic,30.0,13,0.5647552343885827,27,14.375
fixed,periodic,30.0,14,0.4434921116834318,27,14.375
fixed,periodic,50.0,0,1.7540595334033948,16,24.5
fixed,periodic,50.0,1,1.5237865826255728,16,24.5
fixed,periodic,50.0,2,1.462601175216805,16,24.5
fixed,periodic,50.0,3,1.5501251626723807,16,24.5
fixed,periodic,50.0,4,1.2324117670913906,16,24.5
fixed,periodic,50.0,5,1.32199642186509,16,24.5
fixed,periodic,50.0,6,1.2637111296931527,16,24.5
fixed,periodic,50.0,7,1.0289675512613559,16,24.5
fixed,periodic,50.0,8,1.2023634565064532,16,24.5
fixed,periodic,50.0,9,1.1877679024386811,16,24.5
fixed,periodic,50.0,10,1.4608437896059003,16,24.5
fixed,periodic,50.0,11,1.1706457804970667,16,24.5
fixed,periodic,50.0,12,1.4525288718402751,16,24.5
fixed,periodic,50.0,13,1.714311768684671,16,24.5
fixed,periodic,50.0,14,1.4794353047686615,16,24.5
fixed,periodic,80.0,0,2.264350614276071,10,39.5
fixed,periodic,80.0,1,2.236241526843891,10,39.5
fixed,periodic,80.0,2,3.383334420956528,10,39.5
fixed,periodic,80.0,3,1.9146384738961686,10,39.5
fixed,periodic,80.0,4,2.570492093422797,10,39.5
fixed,periodic,80.0,5,2.272486539137724,10,39.5
fixed,periodic,80.0,6,3.004462465435422,10,39.5
fixed,periodic,80.0,7,2.079699017099337,10,39.5
fixed,periodic,80.0,8,2.381543414945386,10,39.5
fixed,periodic,80.0,9,2.333556410890191,10,39.5
fixed,periodic,80.0,10,2.341460410779557,10,39.5
fixed,periodic,80.0,11,2.3882946121114697,10,39.5
fixed,periodic,80.0,12,2.48580077280046,10,39.5
fixed,periodic,80.0,13,2.6951553453437924,10,39.5
fixed,periodic,80.0,14,2.4297517999117475,10,39.5
fixed,periodic,160.0,0,3.916582734063903,5,79.5
fixed,periodic,160.0,1,4.070483044132542,5,79.5
fixed,periodic,160.0,2,4.167112888952868,5,79.5
fixed,periodic,160.0,3,4.5144704988503115,5,79.5
fixed,periodic,160.0,4,4.63827641126528,5,79.5
fixed,periodic,160.0,5,4.020917186507307,5,79.5
fixed,periodic,160.0,6,4.369483489393762,5,79.5
fixed,periodic,160.0,7,5.330173465084313,5,79.5
fixed,periodic,160.0,8,5.926279794501747,5,79.5
fixed,periodic,160.0,9,3.764680497578163,5,79.5
fixed,periodic,160.0,10,4.230141796894159,5,79.5
fixed,periodic,160.0,11,3.7285204996182735,5,79.5
fixed,periodic,160.0,12,4.5282838988058485,5,79.5
fixed,periodic,160.0,13,4.345721388421087,5,79.5
fixed,periodic,160.0,14,4.321379029340225,5,79.5
fixed,periodic,400.0,0,14.281795157064996,2,199.5
fixed,periodic,400.0,1,14.645176268004738,2,199.5
fixed,periodic,400.0,2,17.149983485156802,2,199.5
fixed,periodic,400.0,3,15.875600862496738,2,199.5
fixed,periodic,400.0,4,15.99147015949319,2,199.5
fixed,periodic,400.0,5,15.863598415635751,2,199.5
fixed,periodic,400.0,6,16.311307579323415,2,199.5
fixed,periodic,400.0,7,15.021729620816709,2,199.5
fixed,periodic,400.0,8,16.23211797325915,2,199.5
fixed,periodic,400.0,9,13.985531360931912,2,199.5
fixed,periodic,400.0,10,14.474203778064082,2,199.5
