filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,periodic,10.0,1,0.12058434410801078,80,4.5
good,periodic,10.0,2,0.1041631903079989,80,4.5
good,periodic,10.0,3,0.0977224336083071,80,4.5
good,periodic,10.0,4,0.09627765049091883,80,4.5
good,periodic,10.0,5,0.08944166475941714,80,4.5
good,periodic,10.0,6,0.10640561347608944,80,4.5
good,periodic,10.0,7,0.11037775170916725,80,4.5
good,periodic,10.0,8,0.10741921156019857,80,4.5
good,periodic,10.0,9,0.11512615980041672,80,4.5
good,periodic,10.0,10,0.10578134384759043,80,4.5
good,periodic,10.0,11,0.09564991220072963,80,4.5
good,periodic,10.0,12,6.809653503398172,80,4.5
good,periodic,10.0,13,0.10020196169552355,80,4.5
good,periodic,10.0,14,0.10066700930231104,80,4.5
good,periodic,15.0,0,0.5694365701742097,54,6.96875
good,periodic,15.0,1,0.15572300246973478,54,6.96875
good,periodic,15.0,2,0.15495242819749985,54,6.96875
good,periodic,15.0,3,0.1371622904899597,54,6.96875
good,periodic,15.0,4,0.1336189163601419,54,6.96875
good,periodic,15.0,5,0.12456270430947408,54,6.96875
good,periodic,15.0,6,0.15018084320006733,54,6.96875
good,periodic,15.0,7,0.14826788702369023,54,6.96875
good,periodic,15.0,8,0.14892783736806162,54,6.96875
good,periodic,15.0,9,0.14900994743656307,54,6.96875
good,periodic,15.0,10,0.14291439898984887,54,6.96875
good,periodic,15.0,11,0.12527557548061977,54,6.96875
good,periodic,15.0,12,6.814287697693049,54,6.96875
good,periodic,15.0,13,0.14827208132381836,54,6.96875
good,periodic,15.0,14,0.14070955609225444,54,6.96875
good,periodic,20.0,0,0.6082760542741296,40,9.5
good,periodic,20.0,1,0.19444693920880748,40,9.5
good,periodic,20.0,2,0.21813361739952472,40,9.5
good,periodic,20.0,3,0.20358752831920218,40,9.5
good,periodic,20.0,4,0.19018526895644222,40,9.5
good,periodic,20.0,5,0.1729181974558863,40,9.5
good,periodic,20.0,6,0.21459508736254534,40,9.5
good,periodic,20.0,7,0.2021849996529635,40,9.5
good,periodic,20.0,8,0.21732922840516608,40,9.5
good,periodic,20.0,9,0.1911879307252026,40,9.5
good,periodic,20.0,10,0.20000936163405292,40,9.5
good,periodic,20.0,11,0.18874416445294484,40,9.5
good,periodic,20.0,12,7.245894172852078,40,9.5
good,periodic,20.0,13,0.20538226710327825,40,9.5
good,periodic,20.0,14,0.1960516589443849,40,9.5
good,periodic,30.0,0,0.6652955801674514,27,14.375
good,periodic,30.0,1,0.2982261074902068,27,14.375
good,periodic,30.0,2,0.3678827344861621,27,14.375
good,periodic,30.0,3,0.33600112791870357,27,14.375
good,periodic,30.0,4,0.32709769629998625,27,14.375
good,periodic,30.0,5,0.29313295816456436,27,14.375
good,periodic,30.0,6,0.3592291077340425,27,14.375
good,periodic,30.0,7,0.3244722679531676,27,14.375
good,periodic,30.0,8,0.356703192645904,27,14.375
good,periodic,30.0,9,0.3037836298791689,27,14.375
good,periodic,30.0,10,0.3406485065762851,27,14.375
good,periodic,30.0,11,0.2925605998561125,27,14.375
good,periodic,30.0,12,7.159030661017908,27,14.375
good,periodic,30.0,13,0.3561471634464598,27,14.375
good,periodic,30.0,14,0.3236882554238933,27,14.375
good,periodic,50.0,0,1.2470723162225656,16,24.5
good,periodic,50.0,1,0.6235315408645721,16,24.5
good,periodic,50.0,2,0.752423984114268,16,24.5
good,periodic,50.0,3,0.704923428757896,16,24.5
good,periodic,50.0,4,0.6951371210500318,16,24.5
good,periodic,50.0,5,0.6186785945464934,16,24.5
good,periodic,50.0,6,0.7515026381441183,16,24.5
good,periodic,50.0,7,0.6766970593934428,16,24.5
good,periodic,50.0,8,0.7429620531899316,16,24.5
good,periodic,50.0,9,0.6389810976728386,16,24.5
good,periodic,50.0,10,0.6998980005891846,16,24.5
good,periodic,50.0,11,0.6330948001553854,16,24.5
good,periodic,50.0,12,8.461307513605826,16,24.5
good,periodic,50.0,13,0.7381080671166108,16,24.5
good,periodic,50.0,14,0.6899284833639345,16,24.5
good,periodic,80.0,0,1.40970457511351,10,39.5
good,periodic,80.0,1,1.314716201786325,10,39.5
good,periodic,80.0,2,1.5134432110019402,10,39.5
good,periodic,80.0,3,1.4088196597652773,10,39.5
good,periodic,80.0,4,1.4101498253715044,10,39.5
good,periodic,80.0,5,1.3226777000918515,10,39.5
good,periodic,80.0,6,1.5050430470498675,10,39.5
good,periodic,80.0,7,1.3639494537082215,10,39.5
good,periodic,80.0,8,1.5058531060498603,10,39.5
good,periodic,80.0,9,1.281911885165252,10,39.5
good,periodic,80.0,10,1.4063722717232825,10,39.5
good,periodic,80.0,11,1.3103168837547845,10,39.5
good,periodic,80.0,12,9.144202399653526,10,39.5
good,periodic,80.0,13,1.4797512585341788,10,39.5
good,periodic,80.0,14,1.3706067672985056,10,39.5
good,periodic,160.0,0,3.8169912609822356,5,79.5
good,periodic,160.0,1,3.7389327337677245,5,79.5
good,periodic,160.0,2,4.241612110360816,5,79.5
good,periodic,160.0,3,3.9699100005234116,5,79.5
good,periodic,160.0,4,4.094978531139597,5,79.5
good,periodic,160.0,5,3.771761009061391,5,79.5
good,periodic,160.0,6,4.206793919443322,5,79.5
good,periodic,160.0,7,3.8633001863519296,5,79.5
good,periodic,160.0,8,4.236091640485365,5,79.5
good,periodic,160.0,9,3.677889560745936,5,79.5
good,periodic,160.0,10,3.931503652068235,5,79.5
good,periodic,160.0,11,3.6476247327733753,5,79.5
good,periodic,160.0,12,14.548116251896316,5,79.5
good,periodic,160.0,13,4.142846423100915,5,79.5
good,periodic,160.0,14,3.958352129666495,5,79.5
good,periodic,400.0,0,14.370062178718575,2,199.5
good,periodic,400.0,1,14.162637553431207,2,199.5
good,periodic,400.0,2,16.173388803306242,2,199.5
good,periodic,400.0,3,15.676260229364198,2,199.5
good,periodic,400.0,4,15.790702995413865,2,199.5
good,periodic,400.0,5,14.480210058645937,2,199.5
good,periodic,400.0,6,15.861260630266889,2,199.5
good,periodic,400.0,7,14.395856767522767,2,199.5
good,periodic,400.0,8,16.18887199031372,2,199.5
good,periodic,400.0,9,13.661626839656693,2,199.5
good,periodic,400.0,10,14.466189412611858,2,199.5
good,periodic,400.0,11,13.628972439353664,2,199.5
good,periodic,400.0,12,15.51917362167402,2,199.5
good,periodic,400.0,13,15.689847978918667,2,199.5
good,periodic,400.0,14,15.562955682817964,2,199.5
good,periodic,800.0,0,37.73438253216077,1,399.5
good,periodic,800.0,1,37.64199032229686,1,399.5
good,periodic,800.0,2,42.6495881308472,1,399.5
good,periodic,800.0,3,41.193996567050675,1,399.5
good,periodic,800.0,4,41.95615568659166,1,399.5
good,periodic,800.0,5,37.64528552828063,1,399.5
good,periodic,800.0,6,41.924285841963155,1,399.5
good,periodic,800.0,7,36.85486546494643,1,399.5
good,periodic,800.0,8,42.743519064918786,1,399.5
good,periodic,800.0,9,36.17511073265234,1,399.5
good,periodic,800.0,10,37.68446201641425,1,399.5
good,periodic,800.0,11,36.22559374564842,1,399.5
good,periodic,800.0,12,41.34276727984109,1,399.5
good,periodic,800.0,13,41.75426454820738,1,399.5
good,periodic,800.0,14,40.39222089038895,1,399.5
good,event,0.05,0,0.49116988674627454,177,2.80625
good,event,0.05,1,0.12203630994684657,197,2.42375
good,event,0.05,2,0.06611178700292274,172,2.785
good,event,0.05,3,0.0647360894891077,180,2.59
good,event,0.05,4,0.062225861379034235,171,2.84625
good,event,0.05,5,0.0646341587658737,169,2.87375
good,event,0.05,6,0.06582148574465221,200,2.31
good,event,0.05,7,0.09011055761554808,191,2.45375
good,event,0.05,8,0.06687672842364896,191,2.53625
good,event,0.05,9,0.10900281820113535,179,2.75375
good,event,0.05,10,0.06754874222006817,182,2.60375
good,event,0.05,11,0.06507556552990706,181,2.47
good,event,0.05,12,6.498963745128644,159,10.295
good,event,0.05,13,0.06233653680825719,175,2.645
good,event,0.05,14,0.06853067815567297,174,2.7875
good,event,0.1,0,0.49286887273593905,81,6.63125
good,event,0.1,1,0.13017605781493016,77,7.31
good,event,0.1,2,0.07849437800649968,75,6.23875
good,event,0.1,3,0.07911076966354107,72,6.96625
good,event,0.1,4,0.07810119054569345,75,6.5625
good,event,0.1,5,0.08215976115826859,80,5.9075
good,event,0.1,6,0.0777149024261523,72,6.855
good,event,0.1,7,0.10085472873925681,83,5.72
good,event,0.1,8,0.07810535593723393,76,6.2675
