seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq32,2,unconditional,good,102.34399767121968,0.0,0.0,60561036.83423737,312,0
scenario23_seq32,3,proposed,good,105.4246924674285,6.7092651757188495,20.0,65120630.64802341,99,13
scenario23_seq32,3,periodic,good,106.1389732467806,4.466453674121405,9.0,65120630.64802341,31,0
scenario23_seq32,3,event,good,106.13770599800436,147.15015974440894,303.0,65120630.64802341,7,0
scenario23_seq32,3,unconditional,good,106.13769391930319,0.0,0.0,65120630.64802341,312,0
scenario23_seq32,4,proposed,good,67.53963398718551,6.7092651757188495,20.0,26717329.9820586,100,12
scenario23_seq32,4,periodic,good,68.01307896425497,4.466453674121405,9.0,26717329.9820586,31,0
scenario23_seq32,4,event,good,68.01080314506171,147.15015974440894,303.0,26717329.9820586,7,0
scenario23_seq32,4,unconditional,good,68.01071629532365,0.0,0.0,26717329.9820586,312,0
scenario23_seq32,5,proposed,good,106.92240651356815,6.7092651757188495,20.0,67025084.83210834,99,13
scenario23_seq32,5,periodic,good,107.66505656180243,4.466453674121405,9.0,67025084.83210834,31,0
scenario23_seq32,5,event,good,107.66346172028467,146.18210862619807,302.0,67025084.83210834,8,0
scenario23_seq32,5,unconditional,good,107.66344888721547,0.0,0.0,67025084.83210834,312,0
scenario23_seq32,6,proposed,good,113.51620797156657,6.7092651757188495,20.0,75511230.65266502,99,13
scenario23_seq32,6,periodic,good,114.27795908342581,4.466453674121405,9.0,75511230.65266502,31,0
scenario23_seq32,6,event,good,114.27700652425492,147.15335463258785,303.0,75511230.65266502,7,0
scenario23_seq32,6,unconditional,good,114.27699712379248,0.0,0.0,75511230.65266502,312,0
scenario23_seq32,7,proposed,good,106.27733097845177,6.7092651757188495,20.0,66223849.33853108,99,13
scenario23_seq32,7,periodic,good,107.01288021428134,4.466453674121405,9.0,66223849.33853108,31,0
scenario23_seq32,7,event,good,107.01122660128769,147.14696485623003,303.0,66223849.33853108,8,0
scenario23_seq32,7,unconditional,good,107.01121586544839,0.0,0.0,66223849.33853108,312,0
scenario23_seq32,8,proposed,good,79.53760841055808,6.038338658146965,20.0,36839347.92153307,120,12
scenario23_seq32,8,periodic,good,79.84942838401574,4.466453674121405,9.0,36839347.92153307,31,0
scenario23_seq32,8,event,good,79.84808745598826,135.95207667731628,291.0,36839347.92153307,9,0
scenario23_seq32,8,unconditional,good,79.84814819655476,0.0,0.0,36839347.92153307,312,0
scenario23_seq32,9,proposed,good,104.43311760603883,6.7092651757188495,20.0,63925467.72495763,99,13
scenario23_seq32,9,periodic,good,105.12689198952454,4.466453674121405,9.0,63925467.72495763,31,0
scenario23_seq32,9,event,good,105.12582127012,147.15015974440894,303.0,63925467.72495763,7,0
scenario23_seq32,9,unconditional,good,105.12581138438387,0.0,0.0,63925467.72495763,312,0
scenario23_seq32,10,proposed,good,107.63644103221466,6.7092651757188495,20.0,67885105.53179616,99,13
scenario23_seq32,10,periodic,good,108.34530914607093,4.466453674121405,9.0,67885105.53179616,31,0
scenario23_seq32,10,event,good,108.34463296018096,131.56230031948883,286.0,67885105.53179616,8,0
scenario23_seq32,10,unconditional,good,108.34416949464853,0.0,0.0,67885105.53179616,312,0
scenario23_seq32,11,proposed,good,114.25834660427631,7.380191693290735,20.0,76722443.15947391,79,13
scenario23_seq32,11,periodic,good,115.16477044459681,4.466453674121405,9.0,76722443.15947391,31,0
scenario23_seq32,11,event,good,115.1584371048751,147.14376996805112,303.0,76722443.15947391,9,0
scenario23_seq32,11,unconditional,good,115.15842887643669,0.0,0.0,76722443.15947391,312,0
scenario23_seq32,12,proposed,good,84.14126761546218,6.038338658146965,20.0,41325738.73293875,120,12
scenario23_seq32,12,periodic,good,84.56604945013885,4.466453674121405,9.0,41325738.73293875,31,0
scenario23_seq32,12,event,good,84.5656531781107,136.84664536741215,292.0,41325738.73293875,10,0
scenario23_seq32,12,unconditional,good,84.56550002451858,0.0,0.0,41325738.73293875,312,0
scenario23_seq32,13,proposed,good,105.62366598674605,6.7092651757188495,20.0,65381324.23192488,99,13
scenario23_seq32,13,periodic,good,106.33817156821493,4.466453674121405,9.0,65381324.23192488,31,0
scenario23_seq32,13,event,good,106.33986875782202,111.99041533546325,261.0,65381324.23192488,9,0
scenario23_seq32,13,unconditional,good,106.33689739027834,0.0,0.0,65381324.23192488,312,0
