flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt3,16,fixed,proposed,49.05625273222498,0.7263803680981595,20.0,42011370.1946036,353.0,836.0,30.68454248048848,21.79298305,1630
Opt3,16,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,16,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,16,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,17,fixed,proposed,49.035672534363215,0.6828220858895706,20.0,42011370.1946036,348.0,853.0,30.68454248048848,21.79298305,1630
Opt3,17,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,17,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,17,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,18,fixed,proposed,49.03715535003163,0.7184049079754601,20.0,42011370.1946036,352.0,842.0,30.68454248048848,21.79298305,1630
Opt3,18,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,18,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,18,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,19,fixed,proposed,49.02621532482473,0.7521472392638037,20.0,42011370.1946036,353.0,849.0,30.68454248048848,21.79298305,1630
Opt3,19,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,19,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,19,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,20,fixed,proposed,49.07187867838425,0.7153374233128834,20.0,42011370.1946036,351.0,845.0,30.68454248048848,21.79298305,1630
Opt3,20,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,20,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,20,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,21,fixed,proposed,49.053822541916524,0.7165644171779141,20.0,42011370.1946036,350.0,847.0,30.68454248048848,21.79298305,1630
Opt3,21,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,21,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,21,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,22,fixed,proposed,49.035677561024556,0.7398773006134969,20.0,42011370.1946036,353.0,843.0,30.68454248048848,21.79298305,1630
Opt3,22,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,22,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,22,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,23,fixed,proposed,49.06094682668458,0.7153374233128834,20.0,42011370.1946036,355.0,846.0,30.68454248048848,21.79298305,1630
Opt3,23,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,23,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,23,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,24,fixed,proposed,49.04090986056825,0.7171779141104294,20.0,42011370.1946036,354.0,842.0,30.68454248048848,21.79298305,1630
