flight,k,t,method,action,twin_err,aoi,Ck,Dk,Dr,q,sinr_db,assoc_error_m
Opt2,1068,542.2277178764343,unconditional,SYNC,18.75902421211997,0,0.018792336459585685,1.283710093972216,10.806337615970257,0.05102802401991477,19.1358547,88.1612491741043
Opt2,1069,542.9964716434479,proposed,HOLD,17.68918821138392,2,0.013489328071124343,1.6659039671487557,14.678948192421451,0.04,17.9357872,48.07632836869634
Opt2,1069,542.9964716434479,periodic,HOLD,16.93573363590756,9,0.013489328071124343,1.6267824130093043,14.3342324838666,0.04,17.9357872,48.07632836869634
Opt2,1069,542.9964716434479,event,SYNC,18.391075298707648,0,0.013489328071124343,0.5220522619411962,4.600011920187098,0.04,17.9357872,48.07632836869634
Opt2,1069,542.9964716434479,unconditional,SYNC,18.391075298707648,0,0.013489328071124343,0.5220522619411962,4.600011920187098,0.04,17.9357872,48.07632836869634
Opt2,1070,543.508974313736,proposed,HOLD,17.48039676340711,3,0.17631751031174187,2.7921522178739955,10.104868905064627,0.4587555182288378,28.6735802,5.143832998662132
Opt2,1070,543.508974313736,periodic,SYNC,15.28501001459813,0,0.17631751031174187,1.4421403541083397,5.2191421111217835,0.4587555182288378,28.6735802,5.143832998662132
Opt2,1070,543.508974313736,event,SYNC,15.28501001459813,0,0.17631751031174187,2.864781649594796,10.367716640044796,0.4587555182288378,28.6735802,5.143832998662132
Opt2,1070,543.508974313736,unconditional,SYNC,15.28501001459813,0,0.17631751031174187,2.864781649594796,10.367716640044796,0.4587555182288378,28.6735802,5.143832998662132
Opt2,1071,544.0214767456055,proposed,HOLD,17.7274184436868,4,0.3406829875925479,7.776715542207608,17.64696110619523,0.7414329136284632,30.7584858,27.34939441442412
Opt2,1071,544.0214767456055,periodic,HOLD,15.384913836023564,1,0.3406829875925479,6.549513809832383,14.86218890729681,0.7414329136284632,30.7584858,27.34939441442412
Opt2,1071,544.0214767456055,event,SYNC,16.108337300920418,0,0.3406829875925479,6.549513809832383,14.86218890729681,0.7414329136284632,30.7584858,27.34939441442412
Opt2,1071,544.0214767456055,unconditional,SYNC,16.108337300920418,0,0.3406829875925479,6.549513809832383,14.86218890729681,0.7414329136284632,30.7584858,27.34939441442412
Opt2,1072,545.3027331829071,proposed,HOLD,18.586693249962877,5,0.5377379971395957,11.130134992171651,17.45251975277138,1.0,32.4034691,22.123720412702763
Opt2,1072,545.3027331829071,periodic,HOLD,16.180031963067687,2,0.5377379971395957,10.30321590738683,16.15587585121032,1.0,32.4034691,22.123720412702763
Opt2,1072,545.3027331829071,event,SYNC,16.863714465679084,0,0.5377379971395957,3.59231609837231,5.632902719431318,1.0,32.4034691,22.123720412702763
Opt2,1072,545.3027331829071,unconditional,SYNC,16.863714465679084,0,0.5377379971395957,3.59231609837231,5.632902719431318,1.0,32.4034691,22.123720412702763
Opt2,1073,545.5589845180511,proposed,FUSE,17.45773752479232,0,0.18438191816251664,12.235158579229752,43.02368680218862,0.34293319943182254,27.4098625,25.61119628122009
Opt2,1073,545.5589845180511,periodic,HOLD,17.363229490376405,3,0.18438191816251664,11.634256341228914,40.910675391746416,0.34293319943182254,27.4098625,25.61119628122009
Opt2,1073,545.5589845180511,event,SYNC,17.11180419054594,0,0.18438191816251664,1.2453144415754471,4.37902117554388,0.34293319943182254,27.4098625,25.61119628122009
Opt2,1073,545.5589845180511,unconditional,SYNC,17.11180419054594,0,0.18438191816251664,1.2453144415754471,4.37902117554388,0.34293319943182254,27.4098625,25.61119628122009
Opt2,1074,546.5839896202087,proposed,FUSE,17.182165255345804,0,0.2867471066234142,11.191235891311436,28.936831587491714,0.519069918754705,29.2100258,38.760215050758895
Opt2,1074,546.5839896202087,periodic,HOLD,18.936351620260368,4,0.2867471066234142,16.82228609330257,43.49686346763771,0.519069918754705,29.2100258,38.760215050758895
Opt2,1074,546.5839896202087,event,SYNC,17.940693844611896,0,0.2867471066234142,4.811439879699374,12.440790887116835,0.519069918754705,29.2100258,38.760215050758895
Opt2,1074,546.5839896202087,unconditional,SYNC,17.940693844611896,0,0.2867471066234142,4.811439879699374,12.440790887116835,0.519069918754705,29.2100258,38.760215050758895
Opt2,1075,546.8402409553528,proposed,FUSE,17.211289261917745,0,0.020856123670725864,6.1717063727911725,51.06655902357144,0.04,17.6074162,38.82980770589243
Opt2,1075,546.8402409553528,periodic,HOLD,20.73015623749375,5,0.020856123670725864,17.912620273748395,148.21442000366957,0.04,17.6074162,38.82980770589243
Opt2,1075,546.8402409553528,event,SYNC,17.565769766413382,0,0.020856123670725864,0.3070067982742012,2.5402667978218902,0.04,17.6074162,38.82980770589243
Opt2,1075,546.8402409553528,unconditional,SYNC,17.565769766413382,0,0.020856123670725864,0.3070067982742012,2.5402667978218902,0.04,17.6074162,38.82980770589243
Opt2,1076,548.1214973926544,proposed,FUSE,17.405863150234286,0,0.05912156744676013,4.394552295628292,27.61757796974095,0.11857756321389837,22.7977924,38.621989567734786
Opt2,1076,548.1214973926544,periodic,HOLD,22.721224342688387,6,0.05912156744676013,19.8959635109544,125.03624637566061,0.11857756321389837,22.7977924,38.621989567734786
Opt2,1076,548.1214973926544,event,SYNC,17.702804082018734,0,0.05912156744676013,1.1775678392242561,7.400428855241474,0.11857756321389837,22.7977924,38.621989567734786
Opt2,1076,548.1214973926544,unconditional,SYNC,17.702804082018734,0,0.05912156744676013,1.1775678392242561,7.400428855241474,0.11857756321389837,22.7977924,38.621989567734786
Opt2,1077,548.6339998245239,proposed,HOLD,17.510781048967118,1,0.2801369617319069,4.496949413818796,11.82981363698668,0.5379084681102486,29.364851,31.015677882494344
Opt2,1077,548.6339998245239,periodic,HOLD,24.864642204981685,7,0.2801369617319069,22.482416935501018,59.142938463734104,0.5379084681102486,29.364851,31.015677882494344
Opt2,1077,548.6339998245239,event,SYNC,19.12313294624839,0,0.2801369617319069,3.0896123833550897,8.12762949774416,0.5379084681102486,29.364851,31.015677882494344
