seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq33,1,unconditional,good,3.3800659120225705,0.0,0.0,142539.8860505857,493,0
scenario23_seq33,2,proposed,good,33.12604188459524,5.653846153846154,20.0,9966706.692085618,21,96
scenario23_seq33,2,periodic,good,33.80151839767154,4.4757085020242915,9.0,9966706.692085618,49,0
scenario23_seq33,2,event,good,33.14720845128361,90.47975708502024,294.0,9966706.692085618,28,0
scenario23_seq33,2,unconditional,good,33.12104280002869,0.0,0.0,9966706.692085618,493,0
scenario23_seq33,3,proposed,good,1.4552497307842784,2.951417004048583,19.0,48849.851649417265,17,164
scenario23_seq33,3,periodic,good,1.632426569501543,4.4757085020242915,9.0,48849.851649417265,49,0
scenario23_seq33,3,event,good,1.474995244946824,28.61336032388664,137.0,48849.851649417265,29,0
scenario23_seq33,3,unconditional,good,1.4466102195349875,0.0,0.0,48849.851649417265,493,0
scenario23_seq33,4,proposed,good,1.39238738631333,2.3906882591093117,20.0,46825.721857996745,19,173
scenario23_seq33,4,periodic,good,1.5453607766559123,4.4757085020242915,9.0,46825.721857996745,49,0
scenario23_seq33,4,event,good,1.419881573485767,12.307692307692308,58.0,46825.721857996745,36,0
scenario23_seq33,4,unconditional,good,1.3864069762133442,0.0,0.0,46825.721857996745,493,0
scenario23_seq33,5,proposed,good,1.516518114762025,2.3947368421052633,20.0,50507.78511355269,15,176
scenario23_seq33,5,periodic,good,1.6893826705982342,4.4757085020242915,9.0,50507.78511355269,49,0
scenario23_seq33,5,event,good,1.5308187765035541,11.591093117408906,51.0,50507.78511355269,36,0
scenario23_seq33,5,unconditional,good,1.5083056843087224,0.0,0.0,50507.78511355269,493,0
scenario23_seq33,6,proposed,good,2.01887241723179,2.6983805668016196,20.0,69093.33868544607,17,174
scenario23_seq33,6,periodic,good,2.235017506237459,4.4757085020242915,9.0,69093.33868544607,49,0
scenario23_seq33,6,event,good,2.044038614587089,15.238866396761134,60.0,69093.33868544607,32,0
scenario23_seq33,6,unconditional,good,2.0124301090804457,0.0,0.0,69093.33868544607,493,0
scenario23_seq33,7,proposed,good,2.3367836505043558,4.018218623481781,20.0,80077.53216052102,20,120
scenario23_seq33,7,periodic,good,2.497412071042548,4.4757085020242915,9.0,80077.53216052102,49,0
scenario23_seq33,7,event,good,2.3665441877788287,14.277327935222672,59.0,80077.53216052102,35,0
scenario23_seq33,7,unconditional,good,2.331964342668234,0.0,0.0,80077.53216052102,493,0
scenario23_seq33,8,proposed,good,5.338372580854064,2.9534412955465585,20.0,303195.5157198557,20,160
scenario23_seq33,8,periodic,good,5.566333937051723,4.4757085020242915,9.0,303195.5157198557,49,0
scenario23_seq33,8,event,good,5.3565020633962925,19.10931174089069,106.0,303195.5157198557,33,0
scenario23_seq33,8,unconditional,good,5.331798751674568,0.0,0.0,303195.5157198557,493,0
scenario23_seq33,9,proposed,good,1.8166401847661053,3.174089068825911,20.0,64072.198842792146,22,143
scenario23_seq33,9,periodic,good,2.0368665283233285,4.4757085020242915,9.0,64072.198842792146,49,0
scenario23_seq33,9,event,good,1.8289535385018074,15.65587044534413,58.0,64072.198842792146,36,0
scenario23_seq33,9,unconditional,good,1.8097648588546646,0.0,0.0,64072.198842792146,493,0
scenario23_seq33,10,proposed,good,1.7746283807218206,2.825910931174089,20.0,59545.477467837714,17,161
scenario23_seq33,10,periodic,good,1.9700120504778051,4.4757085020242915,9.0,59545.477467837714,49,0
scenario23_seq33,10,event,good,1.7976860706037396,15.378542510121457,64.0,59545.477467837714,34,0
scenario23_seq33,10,unconditional,good,1.768238490087533,0.0,0.0,59545.477467837714,493,0
scenario23_seq33,11,proposed,good,2.9305368987622726,3.1801619433198383,20.0,113215.24570880912,18,160
scenario23_seq33,11,periodic,good,3.1677217200834553,4.4757085020242915,9.0,113215.24570880912,49,0
scenario23_seq33,11,event,good,2.9851311395882685,15.95344129554656,75.0,113215.24570880912,37,0
