flight,seed,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt2,3,proposed,40.387635137063,1.790813503043719,20.0,37131048.21976478,32.0,793.0,25.984650525236123,22.9163589,1807
Opt2,3,periodic,46.2323630442898,4.494189263973436,9.0,37131048.21976478,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,event,39.62813648501271,0.09352517985611511,3.0,37131048.21976478,1659.0,0.0,25.984650525236123,22.9163589,1807
Opt2,3,unconditional,39.62525855114265,0.0,0.0,37131048.21976478,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,proposed,40.256797661395595,1.8046485888212507,20.0,36975110.720489636,30.0,795.0,25.984650525236123,22.9163589,1807
Opt2,4,periodic,46.12760333078189,4.494189263973436,9.0,36975110.720489636,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,event,39.5453359309744,0.09186496956281129,4.0,36975110.720489636,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,4,unconditional,39.542970449145066,0.0,0.0,36975110.720489636,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,proposed,40.28771180417858,1.8544548976203652,20.0,36988759.57096192,31.0,795.0,25.984650525236123,22.9163589,1807
Opt2,5,periodic,46.05931652715864,4.494189263973436,9.0,36988759.57096192,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,event,39.553594572763565,0.09739900387382401,3.0,36988759.57096192,1650.0,0.0,25.984650525236123,22.9163589,1807
Opt2,5,unconditional,39.55058560726053,0.0,0.0,36988759.57096192,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,proposed,40.26125259579888,1.8544548976203652,20.0,36945604.37548816,30.0,799.0,25.984650525236123,22.9163589,1807
Opt2,6,periodic,46.139274220919994,4.494189263973436,9.0,36945604.37548816,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,event,39.52550856267077,0.09075816270060874,4.0,36945604.37548816,1667.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,unconditional,39.52335162751762,0.0,0.0,36945604.37548816,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,proposed,40.26687579240407,1.795240730492529,20.0,36962614.094914615,31.0,790.0,25.984650525236123,22.9163589,1807
Opt2,7,periodic,46.06195403468396,4.494189263973436,9.0,36962614.094914615,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,event,39.53735232744522,0.08909795240730492,3.0,36962614.094914615,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,unconditional,39.534887495383906,0.0,0.0,36962614.094914615,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,proposed,40.427416802587885,1.929164360819037,20.0,37263698.003798604,33.0,782.0,25.984650525236123,22.9163589,1807
Opt2,8,periodic,46.250330948070975,4.494189263973436,9.0,37263698.003798604,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,event,39.69965751936135,0.09684560044272275,4.0,37263698.003798604,1655.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,unconditional,39.69707200760164,0.0,0.0,37263698.003798604,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,proposed,40.44271620087648,1.8516878804648589,20.0,37329663.04588663,33.0,790.0,25.984650525236123,22.9163589,1807
Opt2,9,periodic,46.37064411548889,4.494189263973436,9.0,37329663.04588663,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,event,39.73241539333979,0.09020475926950747,3.0,37329663.04588663,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,unconditional,39.72997109288955,0.0,0.0,37329663.04588663,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,proposed,40.185444266072466,1.859988931931378,20.0,36830043.54511644,29.0,792.0,25.984650525236123,22.9163589,1807
Opt2,10,periodic,46.01798133318608,4.494189263973436,9.0,36830043.54511644,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,event,39.465462757824476,0.09131156613171001,3.0,36830043.54511644,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,unconditional,39.463241970187006,0.0,0.0,36830043.54511644,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,proposed,40.30166057087385,1.8107360265633647,20.0,37043503.0175617,32.0,789.0,25.984650525236123,22.9163589,1807
Opt2,11,periodic,46.17712898317571,4.494189263973436,9.0,37043503.0175617,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,event,39.57991343946943,0.09020475926950747,3.0,37043503.0175617,1664.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,unconditional,39.578026579539156,0.0,0.0,37043503.0175617,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,proposed,40.14760814137123,1.8251245157719977,20.0,36771968.94006012,28.0,798.0,25.984650525236123,22.9163589,1807
Opt2,12,periodic,45.98945904437834,4.494189263973436,9.0,36771968.94006012,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,event,39.43513545351721,0.09020475926950747,3.0,36771968.94006012,1661.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,unconditional,39.432752876499386,0.0,0.0,36771968.94006012,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,13,proposed,40.372597746860535,1.8550083010514664,20.0,37213981.545468666,30.0,794.0,25.984650525236123,22.9163589,1807
Opt2,13,periodic,46.25415496764033,4.494189263973436,9.0,37213981.545468666,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,13,event,39.6726212357436,0.09186496956281129,3.0,37213981.545468666,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,13,unconditional,39.67063892372029,0.0,0.0,37213981.545468666,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,14,proposed,40.33044331543277,1.8815716657443275,20.0,37082255.637391314,33.0,777.0,25.984650525236123,22.9163589,1807
Opt2,14,periodic,46.16093412529158,4.494189263973436,9.0,37082255.637391314,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,14,event,39.60307211738128,0.08854454897620365,3.0,37082255.637391314,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,14,unconditional,39.600821562909466,0.0,0.0,37082255.637391314,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,15,proposed,40.52923022205973,1.7935805201992252,20.0,37449628.30881908,32.0,795.0,25.984650525236123,22.9163589,1807
Opt2,15,periodic,46.37610542775598,4.494189263973436,9.0,37449628.30881908,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,15,event,39.798644757303094,0.09905921416712783,4.0,37449628.30881908,1655.0,0.0,25.984650525236123,22.9163589,1807
Opt2,15,unconditional,39.79677919981814,0.0,0.0,37449628.30881908,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,16,proposed,40.49156318409096,1.8605423353624793,20.0,37365695.50839679,30.0,796.0,25.984650525236123,22.9163589,1807
Opt2,16,periodic,46.321836979870234,4.494189263973436,9.0,37365695.50839679,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,16,event,39.755151408608455,0.09186496956281129,3.0,37365695.50839679,1661.0,0.0,25.984650525236123,22.9163589,1807
Opt2,16,unconditional,39.75271343732602,0.0,0.0,37365695.50839679,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,17,proposed,40.4864292779031,1.8583287216380742,20.0,37349986.43047103,32.0,787.0,25.984650525236123,22.9163589,1807
Opt2,17,periodic,46.33460049992618,4.494189263973436,9.0,37349986.43047103,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,17,event,39.74731519407729,0.09629219701162148,4.0,37349986.43047103,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,17,unconditional,39.74540448887317,0.0,0.0,37349986.43047103,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,18,proposed,40.35237731806125,1.8301051466519092,20.0,37137264.634925745,30.0,799.0,25.984650525236123,22.9163589,1807
Opt2,18,periodic,46.21096270822604,4.494189263973436,9.0,37137264.634925745,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,18,event,39.63247597437265,0.0957387935805202,3.0,37137264.634925745,1659.0,0.0,25.984650525236123,22.9163589,1807
